<DTYYYYMMDD>,<SIGNAL>,<OPEN>,<FACTOR>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<FEE>,<FINALPRICE>
19990406,1,414,,414,414,414,643,91.49,322.51
19990407,1,405,,410,405,410,404,90.61,319.39
19990408,1,415,,415,414,414,2710,91.49,322.51
19990409,1,415,,415,415,415,5825,91.72,323.29
19990412,-1,425,,425,418,418,1082,99.9,517.9
19990413,-1,420,,420,416,419,916,100.14,519.14
19990414,1,415,,415,410,410,396,90.61,319.39
19990415,1,410,,410,405,405,910,89.51,315.5
19990416,1,407,,407,405,405,486,89.51,315.5
19990419,1,410,,410,410,410,606,90.61,319.39
19990420,-1,416,,416,415,416,1204,99.42,515.42
19990421,-1,425,,425,425,425,1749,101.58,526.58
19990422,-1,425,,425,420,425,3178,101.58,526.58
19990423,-1,435,,435,425,425,2260,101.58,526.58
19990426,1,418,,418,418,418,206,92.38,325.62
19990427,-1,410,,422,410,422,1746,100.86,522.86
19990428,-1,425,,425,425,425,187,101.58,526.58
19990429,1,415,,415,415,415,134,91.72,323.29
19990430,-1,412,,424.5,412,420,498,100.38,520.38
19990504,1,415,,415,415,415,3033,91.72,323.29
19990505,-1,415,,421,412,421,1023,100.62,521.62
19990506,1,413,,416,410,416,1660,91.94,324.06
19990507,1,413,,413,413,413,515,91.27,321.73
19990510,1,414,,414,414,414,1285,91.49,322.51
19990511,1,416,,416,416,416,2822,91.94,324.06
19990512,-1,417,,417,417,417,1987,99.66,516.66
19990513,1,417,,417.5,415,415,1370,91.72,323.29
19990514,-1,421,,425,420,420,945,100.38,520.38
19990517,1,415,,416,415,415,1881,91.72,323.29
19990518,-1,435,,435,430,430,1508,102.77,532.77
19990519,-1,450,,456,450,455,1242,108.75,563.75
19990520,-1,465,,475,465,475,2662,113.53,588.53
19990521,-1,490,,510,490,510,1785,121.89,631.89
19990524,-1,490,,495,490,490,3329,117.11,607.11
19990525,-1,490,,490,490,490,1126,117.11,607.11
19990526,-1,500,,500,500,500,1619,119.5,619.5
19990527,-1,505,,505,490,500,416,119.5,619.5
19990528,-1,500,,500,500,500,4266,119.5,619.5
19990531,-1,500,,500,500,500,527,119.5,619.5
19990601,-1,510,,525,510,525,5505,125.48,650.48
19990602,-1,515,,515,515,515,886,123.09,638.09
19990607,1,485,,485,470,470,1422,103.87,366.13
19990608,1,470,,470,465,465,1653,102.77,362.24
19990609,1,450,,450,450,450,1908,99.45,350.55
19990610,1,455,,455,450,453,957,100.11,352.89
19990611,-1,470,,480,470,480,137,114.72,594.72
19990614,1,485,,485,475,475,107,104.98,370.03
19990615,1,460,,460,460,460,136,101.66,358.34
19990616,1,460,,461,460,460,1126,101.66,358.34
19990617,1,460,,460,455,455,350,100.56,354.45
19990618,1,460,,460,456,456,15535,100.78,355.22
19990621,-1,470,,480,470,470,635,112.33,582.33
19990622,-1,466,,475,466,470,375,112.33,582.33
19990623,1,460,,460,456,456,284,100.78,355.22
19990624,1,458,,460,435.5,458,523,101.22,356.78
19990625,1,458,,458,445,445,263,98.35,346.66
19990628,-1,463,,465,463,465,563,111.14,576.14
19990629,-1,465,,465,465,465,191,111.14,576.14
19990630,1,453,,453,447.5,447.5,4107,98.9,348.6
19990701,-1,472,,472,470,471,1017,112.57,583.57
19990702,-1,472,,472,470,470,1294,112.33,582.33
19990705,-1,465,,465,465,465,2512,111.14,576.14
19990706,-1,470,,470,470,470,3941,112.33,582.33
19990707,-1,475,,475,466,466,2941,111.37,577.37
19990708,-1,475,,485,475,480,3311,114.72,594.72
19990709,-1,480,,490,480,490,416,117.11,607.11
19990712,-1,506,,506,480,480,4435,114.72,594.72
19990713,1,470,,470,470,470,3215,103.87,366.13
19990714,1,470,,470,470,470,2644,103.87,366.13
19990715,1,470,,470,470,470,4050,103.87,366.13
19990716,1,470,,470,470,470,781,103.87,366.13
19990719,1,471,,471,471,471,67,104.09,366.91
19990720,-1,472,,472,472,472,87,112.81,584.81
19990721,-1,470,,473,470,473,392,113.05,586.05
19990722,-1,470,,480,470,480,5314,114.72,594.72
19990723,1,470,,470,470,470,1449,103.87,366.13
19990726,1,470,,470,470,470,533,103.87,366.13
19990727,1,455,,470,455,470,170,103.87,366.13
19990728,1,460,,460,460,460,112,101.66,358.34
19990729,1,460,,460,452,452,153,99.89,352.11
19990730,1,465,,465,465,465,416,102.77,362.24
19990802,-1,470,,470,470,470,238,112.33,582.33
19990803,-1,470,,470,470,470,1380,112.33,582.33
19990804,-1,470,,479.5,470,479.5,135,114.6,594.1
19990805,-1,474,,479,474,476,556,113.76,589.76
19990806,-1,479,,479.5,479,479.5,2990,114.6,594.1
19990809,-1,480,,480,475,475,352,113.53,588.53
19990810,-1,474,,474,474,474,158,113.29,587.29
19990811,1,473,,473,473,473,245,104.53,368.47
19990812,1,472,,472,470,470,7164,103.87,366.13
19990813,1,472,,472,472,472,399,104.31,367.69
19990816,1,470,,471,470,471,1279,104.09,366.91
