<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<SIGNAL>,<FACTOR>,<FEE>,<FINALPRICE>
20150108,391.85,391.85,387,387,200,-1,proponowana akcja kupna,141.45,528.45
20150109,389,394,389,394,206,-1,proponowana akcja kupna,144.01,538.01
20150112,384.05,384.55,384.05,384.05,12,1,proponowana akcja sprzedaży,114.16,269.89
20150113,382.1,394.05,381.95,394,847,-1,proponowana akcja kupna,144.01,538.01
20150114,388,388,388,388,6,-1,proponowana akcja kupna,141.81,529.81
20150116,388,388,385,385,8,1,proponowana akcja sprzedaży,114.45,270.55
20150119,390,390,388,388,4,-1,proponowana akcja kupna,141.81,529.81
20150120,387.95,397.9,386,395,133,-1,proponowana akcja kupna,144.37,539.37
20150121,391,391,391,391,20,-1,proponowana akcja kupna,142.91,533.91
20150122,394,394,386,386,6,1,proponowana akcja sprzedaży,114.74,271.26
20150123,386,386,386,386,7,1,proponowana akcja sprzedaży,114.74,271.26
20150126,386,386,380.1,382,40,1,proponowana akcja sprzedaży,113.55,268.45
20150127,383,383,382,382,29,1,proponowana akcja sprzedaży,113.55,268.45
20150129,386,390,380.45,390,133,-1,proponowana akcja kupna,142.55,532.55
20150130,381.5,381.5,378,379,139,1,proponowana akcja sprzedaży,112.66,266.34
20150202,379,382.05,379,382.05,24,1,proponowana akcja sprzedaży,113.57,268.48
20150203,380,392.45,380,392.45,21,-1,proponowana akcja kupna,143.44,535.89
20150204,392.25,392.25,392.25,392.25,1,-1,proponowana akcja kupna,143.37,535.62
20150205,389,394.5,389,394.5,27,-1,proponowana akcja kupna,144.19,538.69
20150206,388,390,387,387,130,1,proponowana akcja sprzedaży,115.04,271.96
20150209,390,390,390,390,6,-1,proponowana akcja kupna,142.55,532.55
20150210,394.4,394.4,390,390,40,-1,proponowana akcja kupna,142.55,532.55
20150211,387,388,387,387,82,1,proponowana akcja sprzedaży,115.04,271.96
20150212,390,390,390,390,20,-1,proponowana akcja kupna,142.55,532.55
20150213,390,390,382.9,382.9,22,1,proponowana akcja sprzedaży,113.82,269.08
20150216,388.95,388.95,383.15,383.3,14,1,proponowana akcja sprzedaży,113.94,269.36
20150217,381,381.05,381,381.05,51,1,proponowana akcja sprzedaży,113.27,267.78
20150218,385,385,383.3,383.3,16,1,proponowana akcja sprzedaży,113.94,269.36
20150219,385,385,385,385,1,1,proponowana akcja sprzedaży,114.45,270.55
20150220,385,385,385,385,2,1,proponowana akcja sprzedaży,114.45,270.55
20150223,387,387,387,387,5,-1,proponowana akcja kupna,141.45,528.45
20150224,390,390,390,390,2,-1,proponowana akcja kupna,142.55,532.55
