Date,Open,High,Low,Close,Volume,FinalPrice,AdditionalFee,JsonSerialization
19970922,267,275,267,275,7208,340.73,65.73,False
19970923,280,280,280,280,2021,346.92,66.92,False
19970924,275,275,275,275,2647,340.73,65.73,False
19970925,270,270,270,270,8357,210.33,59.67,False
19970926,270,270,270,270,3382,210.33,59.67,False
19970929,273,273,273,273,1638,338.25,65.25,False
19970930,275,275,275,275,4104,340.73,65.73,False
19971001,280,280,280,280,4965,346.92,66.92,False
19971002,282,282,282,282,3098,349.4,67.4,False
19971003,282,282,282,282,1342,349.4,67.4,False
19971006,282,282,282,282,456,349.4,67.4,False
19971007,282,282,282,282,1401,349.4,67.4,False
19971008,275,275,275,275,404,214.23,60.78,False
19971009,275,276,275,276,3337,215,61,False
19971010,277,277,277,277,1800,215.78,61.22,False
19971013,275,275,275,275,710,214.23,60.78,False
19971014,275,275,275,275,3097,214.23,60.78,False
19971015,277,277,277,277,1946,343.2,66.2,False
19971016,277,277,277,277,3787,343.2,66.2,False
19971017,276,276,276,276,3931,215,61,False
19971020,275,275,275,275,2224,214.23,60.78,False
19971021,275,275,275,275,3007,214.23,60.78,False
19971022,277,277,277,277,641,343.2,66.2,False
19971023,280,280,270,270,1457,210.33,59.67,False
19971024,270,272,270,272,2687,211.89,60.11,False
19971027,270,270,270,270,8823,210.33,59.67,False
19971028,243,243,240,240,10835,186.96,53.04,False
19971029,260,260,260,260,3829,202.54,57.46,False
19971030,260,261,260,261,14380,203.32,57.68,False
19971031,260,260,260,260,6000,202.54,57.46,False
19971103,260,260,260,260,7457,202.54,57.46,False
19971104,260,260,260,260,10240,202.54,57.46,False
19971105,260,260,260,260,10286,202.54,57.46,False
19971106,260,260,260,260,6220,202.54,57.46,False
19971107,260,260,260,260,49288,202.54,57.46,False
19971112,250,250,226,226,7382,176.05,49.95,False
19971113,240,240,222.5,230,1230,179.17,50.83,False
19971114,245,245,245,245,1172,190.86,54.15,False
19971117,245,245,245,245,5721,190.86,54.15,False
19971118,255,255,250,250,414,309.75,59.75,False
19971119,229.5,255,229.5,240,2928,186.96,53.04,False
19971120,235,238,235,237,2475,184.62,52.38,False
19971121,240,245,240,245,884,190.86,54.15,False
19971124,230,238,230,238,5531,185.4,52.6,False
19971125,235,235,235,235,2620,183.07,51.94,False
19971126,237,237,237,237,1042,184.62,52.38,False
19971127,237,237,237,237,9155,184.62,52.38,False
19971128,244,244,244,244,4401,302.32,58.32,False
19971201,237,250,237,250,4056,309.75,59.75,False
19971202,240,260,240,255,5296,315.95,60.95,False
19971203,241,247,241,247,1872,306.03,59.03,False
19971204,245,245,245,245,3631,190.86,54.15,False
19971205,250,253.5,250,250,2259,309.75,59.75,False
19971208,245,264,245,255,929,315.95,60.95,False
19971209,250,250,250,250,1653,309.75,59.75,False
19971210,250,250,250,250,3148,309.75,59.75,False
19971211,249,250,243,250,5007,309.75,59.75,False
19971212,250,255,250,255,2496,315.95,60.95,False
19971215,255,255,255,255,403,315.95,60.95,False
19971216,260,265,260,265,346,328.34,63.34,False
19971217,269,269,269,269,1667,333.29,64.29,False
19971218,270,272,270,272,1081,337.01,65.01,False
19971219,270,270,270,270,2033,334.53,64.53,False
19971222,270,270,270,270,1038,334.53,64.53,False
19971223,275,275,275,275,12037,340.73,65.73,False
19971229,288.5,288.5,288.5,288.5,1698,357.45,68.95,False
19971230,290,295,290,295,5183,365.51,70.51,False
19971231,296,296,296,296,4306,366.74,70.74,False
19980105,271,295,271,295,1183,365.51,70.51,False
19980106,289,289,289,289,3701,358.07,69.07,False
19980107,285,288,285,288,560,356.83,68.83,False
19980108,289,289,289,289,1685,358.07,69.07,False
19980109,290,290,275,276,2649,215,61,False
19980112,285,285,261,261,964,203.32,57.68,False
19980113,290,290,275,275,2424,214.23,60.78,False
19980114,280,280,265,274,3189,213.45,60.55,False
19980115,275,290,275,275,3875,214.23,60.78,False
19980119,302.5,340,302.5,339.5,270,420.64,81.14,False
19980120,332.5,340,332.5,340,340,421.26,81.26,False
19980121,337,337.5,336.5,336.5,4279,416.92,80.42,False
19980122,346,349.5,345,345,10194,427.46,82.46,False
19980123,346,346,346,346,4282,428.69,82.69,False
19980126,346,346,346,346,4008,428.69,82.69,False
19980127,346,350,346,350,4045,433.65,83.65,False
19980128,346,346,346,346,4119,428.69,82.69,False
19980129,346,346,346,346,7102,428.69,82.69,False
19980203,338,342,334,334,2959,260.19,73.81,False
19980204,330,330,330,330,2288,257.07,72.93,False
19980205,328,338,328,338,535,418.78,80.78,False
19980206,330,332,330,332,6780,258.63,73.37,False
19980209,330.5,332,330.5,330.5,2795,257.46,73.04,False
19980210,330,331,330,331,2300,257.85,73.15,False
19980211,332,332,329.5,329.5,475,256.68,72.82,False
19980212,330,330,330,330,4184,257.07,72.93,False
19980213,334,338,334,338,2689,418.78,80.78,False
19980216,335,335,335,335,924,415.07,80.07,False
